[2026-04-18 12:18:48] SUCCESS | Input: [[20.0, 20.0, 2.0], [3.0, 4.0, 5.0], [6.0, 8.0, 9.0]] | Assignment: [(0, 2), (1, 1), (2, 0)] | Cost: 12.0
[2026-04-18 12:31:14] SUCCESS | Input: [[1.0, 2.0, 3.0], [2.0, 3.0, 4.0], [3.0, 4.0, 5.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 9.0
[2026-04-18 12:58:33] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:39] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:40] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:42] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:43] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:45] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:46] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:58:57] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:59:00] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:59:15] SUCCESS | Input: [[1.0, 2.0, 3.0], [4.0, 5.0, 6.0], [7.0, 8.0, 9.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 15.0
[2026-04-18 12:59:21] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 12:59:37] SUCCESS | Input: [[1.0, 2.0, 3.0], [1.0, 5.0, 6.0], [1.0, 2.0, 1.0]] | Assignment: [(0, 1), (1, 0), (2, 2)] | Cost: 4.0
[2026-04-18 13:23:31] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 13:42:30] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 13:42:41] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-18 13:42:57] SUCCESS | Input: [[1.0]] | Assignment: [(0, 0)] | Cost: 1.0
[2026-04-18 13:43:01] ERROR: Матрица должна быть квадратной. Получено: 1×2 | Input: '1 2'
[2026-04-18 13:43:11] ERROR: Матрица должна быть квадратной. Получено: 2×2 | Input: '1 2\r\n1'
[2026-04-18 13:43:16] SUCCESS | Input: [[1.0, 2.0], [1.0, 2.0]] | Assignment: [(0, 0), (1, 1)] | Cost: 3.0
[2026-04-20 09:50:27] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-21 00:43:02] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-21 15:12:53] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-21 15:35:04] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-21 15:39:40] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-21 15:40:51] SUCCESS | Input: [[1.0, 2.0, 3.0, 4.0], [2.0, 3.0, 4.0, 5.0], [3.0, 4.0, 5.0, 6.0], [4.0, 5.0, 6.0, 7.0]] | Assignment: [(0, 0), (1, 1), (2, 2), (3, 3)] | Cost: 16.0
